epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
95,566.278,0.86274,0.52474,0.89866,0.95668,0.90702,0.96103,0.77298,0.78354,0.47742,0.86365,0.0010694,0.0010694,0.0010694
96,572.343,0.85894,0.52109,0.90371,0.96309,0.90523,0.96248,0.76843,0.79243,0.47843,0.86751,0.0010595,0.0010595,0.0010595
97,578.38,0.83135,0.512,0.89776,0.95803,0.91467,0.9635,0.77133,0.78849,0.4796,0.86773,0.0010496,0.0010496,0.0010496
98,584.396,0.85882,0.51771,0.90358,0.95084,0.90998,0.96363,0.77768,0.77248,0.47,0.86394,0.0010397,0.0010397,0.0010397
99,590.446,0.83683,0.50696,0.89717,0.96492,0.9071,0.96611,0.7795,0.7664,0.46092,0.85981,0.0010298,0.0010298,0.0010298
100,596.451,0.83729,0.50899,0.89806,0.95079,0.92065,0.96466,0.77843,0.76186,0.46462,0.8589,0.0010199,0.0010199,0.0010199
101,602.496,0.83087,0.50821,0.89502,0.95536,0.90789,0.96346,0.77663,0.76963,0.47187,0.86126,0.00101,0.00101,0.00101
102,608.533,0.84256,0.51069,0.89905,0.95841,0.90829,0.96412,0.78275,0.76686,0.46104,0.86143,0.0010001,0.0010001,0.0010001
103,614.508,0.84027,0.50948,0.89582,0.96198,0.89872,0.96114,0.77167,0.77858,0.48703,0.86342,0.0009902,0.0009902,0.0009902
104,620.569,0.8247,0.50124,0.89347,0.95813,0.91547,0.96534,0.78043,0.76568,0.46481,0.86034,0.0009803,0.0009803,0.0009803
105,626.539,0.84016,0.50637,0.89881,0.94682,0.91427,0.96246,0.77832,0.76282,0.46226,0.85914,0.0009704,0.0009704,0.0009704
106,632.596,0.82549,0.49989,0.89461,0.943,0.91866,0.96254,0.78019,0.77031,0.46757,0.86011,0.0009605,0.0009605,0.0009605
107,638.62,0.82585,0.50314,0.89424,0.95955,0.92065,0.96578,0.7832,0.75152,0.46512,0.85604,0.0009506,0.0009506,0.0009506
108,644.637,0.83319,0.50629,0.8951,0.96093,0.92194,0.96641,0.78727,0.74899,0.45836,0.85842,0.0009407,0.0009407,0.0009407
109,650.611,0.85329,0.51857,0.90059,0.94858,0.91939,0.96317,0.77741,0.76814,0.46814,0.86201,0.0009308,0.0009308,0.0009308
110,656.621,0.82413,0.50118,0.89908,0.95831,0.91648,0.96487,0.78416,0.7584,0.45646,0.85826,0.0009209,0.0009209,0.0009209
